mCurrentLap,mWorldPosition[0],mWorldPosition[1],mWorldPosition[2],mLocalAcceleration[0],mLocalAcceleration[1],mLocalAcceleration[2],mSteering,mBrake,mThrottle,mTyreRPS[0],mTyreRPS[1],mTyreRPS[2],mTyreRPS[3],mWorldVelocity[0],mWorldVelocity[1],mWorldVelocity[2],mOrientation[0],mOrientation[1],mOrientation[2],mSpeed,mCurrentTime,mAngularVelocity[0],mAngularVelocity[1],mAngularVelocity[2]
3,-150.968,222.553,425.663,-0.0472132,-0.0811091,-2.99969,-0.001072,0,1,-86.9864,-87.0604,-88.5777,-88.5813,-16.07,-0.341743,-21.6668,-0.00717402,0.638373,0.00120075,26.983,107.993,0.0039972,0.00469013,-0.0210475
3,-151.263,222.547,425.265,-0.00845206,-0.0758639,-3.00358,-0.000940482,0,1,-87.1305,-87.1634,-88.7282,-88.7261,-16.0971,-0.343279,-21.7028,-0.00724536,0.638287,0.00154812,27.0381,108.011,0.00377601,0.00473042,-0.0177598
3,-151.504,222.542,424.939,0.0240997,-0.0622482,-2.99092,-0.000807196,0,1,-87.2925,-87.3061,-88.8936,-88.8878,-16.1266,-0.34467,-21.743,-0.00729379,0.638217,0.0017679,27.0828,108.028,0.00298174,0.0045904,-0.0132308
3,-151.773,222.536,424.577,0.0488637,-0.0462713,-2.98187,-0.00068254,0,1,-87.4631,-87.4763,-89.0646,-89.0566,-16.1571,-0.345916,-21.7853,-0.00733501,0.638143,0.00194266,27.1325,108.043,0.00216418,0.00434124,-0.00881878
3,-152.043,222.53,424.213,0.0289,-0.0316425,-2.97055,0.00058943,0,1,-87.6294,-87.6008,-89.2099,-89.2017,-16.1832,-0.346823,-21.8216,-0.00736326,0.63807,0.00204034,27.1822,108.061,0.00146745,0.00396709,-0.00439061
3,-152.313,222.524,423.849,0.00511962,-0.0282383,-2.97075,0.000498421,0,1,-87.7884,-87.7996,-89.3873,-89.3776,-16.2156,-0.347749,-21.8655,-0.00737793,0.638018,0.00206994,27.2318,108.078,0.000601446,0.00271284,-0.000305366
3,-152.583,222.519,423.484,0.013359,-0.0467225,-2.96486,0.000430524,0,1,-88.0035,-87.9639,-89.5561,-89.5448,-16.2463,-0.34878,-21.9072,-0.00738265,0.637982,0.00204303,27.2812,108.093,0.000155156,0.0017285,0.00297716
3,-152.909,222.512,423.045,0.0178537,-0.0246533,-2.98371,0.000383213,0,1,-88.1072,-88.1109,-89.6998,-89.6875,-16.2728,-0.349499,-21.9434,-0.00737859,0.637961,0.00197084,27.3408,108.108,-0.000355668,0.000777556,0.00375272
3,-153.126,222.507,422.752,0.0203801,0.0129104,-2.94599,0.000338495,0,1,-88.2613,-88.3093,-89.8593,-89.8465,-16.3019,-0.349925,-21.9832,-0.00736819,0.637959,0.00192427,27.3801,108.13,-0.000983205,-4.54E-05,0.00328268
3,-153.671,222.495,422.018,0.0208083,0.0504116,-2.96302,0.000265516,0,1,-88.5745,-88.5695,-90.1701,-90.1541,-16.3588,-0.349475,-22.0611,-0.00730217,0.637975,0.00186226,27.4742,108.158,-0.0030163,-0.000681174,0.00147586
3,-153.944,222.489,421.65,0.0162961,0.0474039,-2.94902,0.000230273,0,1,-88.7495,-88.7428,-90.3417,-90.3254,-16.3902,-0.348994,-22.1041,-0.00723542,0.637991,0.00183772,27.5282,108.176,-0.00402746,-0.000943774,0.00126212
3,-154.217,222.484,421.281,0.0109525,0.0446056,-2.9459,0.000198156,0,1,-88.9205,-88.9119,-90.5085,-90.4922,-16.4212,-0.348542,-22.1463,-0.00716036,0.638008,0.00181812,27.5773,108.193,-0.00480155,-0.00110562,0.00103758
3,-154.491,222.478,420.912,0.00926093,0.0335229,-2.91882,0.000172893,0,1,-89.0924,-89.0549,-90.6489,-90.6298,-16.4473,-0.348266,-22.1817,-0.00707636,0.638027,0.00180214,27.6261,108.208,-0.00515561,-0.00108224,0.00103437
3,-154.766,222.472,420.541,0.00982761,0.060038,-2.94647,-0.000147104,0,1,-89.2189,-89.2215,-90.7968,-90.7816,-16.4766,-0.347841,-22.2214,-0.00699191,0.638048,0.00177974,27.6755,108.226,-0.00497142,-0.0012256,0.00110362
3,-155.04,222.466,420.171,0.0160856,0.0571576,-2.92721,-0.000129133,0,1,-89.3608,-89.3568,-90.933,-90.9171,-16.5026,-0.34725,-22.2569,-0.00691501,0.638066,0.00177299,27.7242,108.243,-0.0044645,-0.00100057,0.000126329
3,-155.316,222.46,419.799,0.00856584,0.0444318,-2.89495,-0.000114016,0,1,-89.5271,-89.5408,-91.0908,-91.0772,-16.5327,-0.346662,-22.2978,-0.00684988,0.63808,0.00177974,27.7725,108.261,-0.00363315,-0.000804832,-0.000671736
3,-155.868,222.449,419.054,-0.00255171,0.0444713,-2.91014,-9.58E-05,0,1,-89.8604,-89.8365,-91.4001,-91.3879,-16.5917,-0.346089,-22.3774,-0.00676948,0.638097,0.00182163,27.8692,108.293,-0.00167949,-0.000333707,-0.000625386
3,-156.173,222.442,418.644,-0.00571024,0.0474988,-2.87436,-8.92E-05,0,1,-90.0115,-90.0095,-91.5664,-91.5544,-16.6233,-0.345586,-22.4199,-0.00674645,0.638103,0.00183051,27.922,108.311,-0.00101338,-0.000276925,-0.000427551
3,-156.422,222.437,418.307,-0.00730515,0.0297798,-2.86342,-8.49E-05,0,1,-90.1523,-90.1492,-91.7025,-91.6906,-16.6489,-0.345336,-22.4543,-0.00673697,0.638106,0.00183852,27.9649,108.328,-0.000428415,-0.000196581,-0.000582461
3,-156.7,222.431,417.932,-0.00685388,0.0122673,-2.84708,-8.08E-05,0,1,-90.2999,-90.3025,-91.847,-91.8331,-16.6759,-0.34536,-22.4905,-0.00673827,0.638109,0.00184553,28.0123,108.343,0.000335148,-0.000150637,-0.000289673
3,-156.978,222.426,417.557,-0.00753182,-0.0256418,-2.89906,-7.67E-05,0,1,-90.4947,-90.4895,-92.0118,-91.999,-16.707,-0.346056,-22.5321,-0.00675791,0.638111,0.00185041,28.0597,108.361,0.00166193,-7.30E-05,-0.000275564
3,-157.257,222.42,417.181,-0.00727057,0.013739,-2.82922,-7.27E-05,0,1,-90.6379,-90.637,-92.1825,-92.1726,-16.7396,-0.346275,-22.576,-0.00679057,0.638112,0.00185033,28.1071,108.376,0.00220438,-6.04E-05,0.000118217
3,-157.536,222.414,416.805,-0.00644036,0.00145378,-2.81547,-7.01E-05,0,1,-90.761,-90.7593,-92.3032,-92.2922,-16.7621,-0.34648,-22.6061,-0.00682988,0.638113,0.0018493,28.1541,108.393,0.0024655,-2.65E-05,3.60E-05
3,-157.844,222.408,416.39,-0.00577021,-0.00622369,-2.80369,-6.70E-05,0,1,-90.9138,-90.9148,-92.4516,-92.4419,-16.7901,-0.346923,-22.6437,-0.00687503,0.638113,0.0018495,28.2009,108.411,0.00284238,-1.61E-05,-3.69E-05
3,-158.096,222.403,416.05,-0.0049938,-0.0540562,-2.7744,-6.40E-05,0,1,-91.1107,-91.1095,-92.6021,-92.5898,-16.8176,-0.347809,-22.6807,-0.00692861,0.638114,0.00185496,28.2472,108.428,0.00350119,3.09E-05,-0.000493814
3,-158.377,222.397,415.671,-0.0042659,-0.0148252,-2.80207,-6.15E-05,0,1,-91.1995,-91.1931,-92.7356,-92.7234,-16.843,-0.348577,-22.7148,-0.0069821,0.638113,0.00185808,28.2895,108.443,0.00352441,5.24E-05,-6.61E-05
3,-158.939,222.385,414.913,-0.00303749,-0.0282804,-2.77386,-5.60E-05,0,1,-91.5085,-91.5074,-93.0389,-93.0293,-16.9001,-0.350027,-22.7916,-0.00709463,0.638112,0.00185461,28.3867,108.476,0.00299267,3.08E-05,8.50E-05
3,-159.221,222.379,414.532,-0.00329709,-0.0671475,-2.72376,-5.32E-05,0,1,-91.7165,-91.7272,-93.2047,-93.1946,-16.9309,-0.351213,-22.8331,-0.00713813,0.638112,0.0018553,28.4276,108.493,0.002999,-2.13E-07,-0.000302158
3,-159.504,222.374,414.151,-0.0033687,-0.0327823,-2.77692,-5.12E-05,0,1,-91.8149,-91.8056,-93.3348,-93.3257,-16.9559,-0.3522,-22.8667,-0.00718748,0.638111,0.00185692,28.4741,108.508,0.00278952,4.75E-05,3.23E-05
3,-159.786,222.368,413.77,-0.00193262,-0.0286399,-2.73339,-4.99E-05,0,1,-91.9551,-91.9548,-93.4798,-93.4705,-16.9832,-0.35297,-22.9034,-0.00723329,0.638111,0.00185538,28.5244,108.526,0.00229677,1.24E-05,0.000101527
3,-160.354,222.356,413.005,0.0291785,0.0094082,-2.68686,-0.000677102,0,1,-92.236,-92.2701,-93.7525,-93.7445,-17.0342,-0.353857,-22.973,-0.00728391,0.638109,0.0018647,28.6104,108.558,0.000932831,0.00023214,-0.0010446
3,-160.638,222.35,412.622,0.0618473,0.0106929,-2.74766,-0.00108949,0,0.333333,-92.4121,-92.4129,-93.6659,-93.6559,-17.0641,-0.354218,-23.0149,-0.00729177,0.638096,0.00190494,28.6606,108.576,0.000974884,0.00108034,-0.00269344
3,-160.922,222.344,412.238,0.0939011,-0.270646,0.0923625,-0.00135744,0,0,-92.4829,-92.4959,-92.4013,-92.4058,-17.0737,-0.357274,-23.0302,-0.00741105,0.63807,0.00196475,28.6706,108.593,0.0129791,0.00204973,-0.004284
3,-161.207,222.338,411.854,0.0910479,-0.2937,0.415368,-0.00102434,0,0,-92.479,-92.4676,-92.3244,-92.3343,-17.0696,-0.361541,-23.0271,-0.00773031,0.638022,0.00204542,28.6647,108.608,0.0227788,0.00314868,-0.00495949
3,-161.491,222.332,411.471,0.0303469,-0.270882,0.503312,-5.90E-05,0,0,-92.4538,-92.4643,-92.3962,-92.41,-17.0643,-0.366111,-23.0218,-0.00819907,0.63796,0.00211518,28.6573,108.626,0.0306393,0.00363137,-0.00334071
3,-161.775,222.326,411.087,0.0113136,-0.19383,0.286142,-5.78E-05,0,0,-92.4589,-92.4524,-92.3987,-92.4111,-17.0609,-0.369349,-23.0175,-0.00877055,0.6379,0.00214789,28.652,108.643,0.0355868,0.00355364,-0.00128028
3,-162.059,222.32,410.704,0.0266983,-0.0746681,0.327397,-5.04E-05,0,0,-92.3939,-92.4082,-92.3778,-92.3899,-17.0569,-0.371553,-23.0128,-0.00939801,0.637843,0.0021407,28.6467,108.661,0.0383428,0.00316729,0.00125369
3,-162.343,222.314,410.321,0.0255621,-0.00644898,0.33011,4.44E-05,0,0,-92.3781,-92.3891,-92.3592,-92.3711,-17.053,-0.372006,-23.0082,-0.010038,0.637792,0.00210734,28.6412,108.678,0.0380626,0.00279217,0.0024986
3,-162.627,222.308,409.938,0.0299609,0.0439333,0.328454,4.33E-05,0,0,-92.367,-92.3756,-92.3462,-92.3564,-17.05,-0.371554,-23.0049,-0.0106597,0.637746,0.00206087,28.6357,108.693,0.036611,0.00251643,0.00297674
3,-163.195,222.296,409.171,0.0441045,0.132357,0.353581,4.65E-05,0,0,-92.3324,-92.3697,-92.3127,-92.32,-17.0423,-0.368347,-22.9967,-0.011762,0.637671,0.00195669,28.6243,108.728,0.029875,0.0018543,0.00265183
3,-163.479,222.29,408.788,0.0464139,0.16585,0.325076,4.93E-05,0,0,-92.3156,-92.3723,-92.2948,-92.2995,-17.0381,-0.365622,-22.9923,-0.0122124,0.637642,0.00193364,28.6187,108.743,0.0251675,0.0016645,0.000641576
3,-163.763,222.284,408.405,0.0490248,0.251086,0.334209,5.14E-05,0,0,-92.3017,-92.3068,-92.2791,-92.2836,-17.0344,-0.362073,-22.9886,-0.0125771,0.637613,0.00192762,28.6132,108.761,0.0198057,0.00171633,0.000412553
3,-164.047,222.278,408.022,0.0494483,0.277384,0.35483,5.33E-05,0,0,-92.2885,-92.2922,-92.2621,-92.2669,-17.0304,-0.357655,-22.9846,-0.0128396,0.637585,0.00192176,28.6073,108.778,0.013783,0.00160811,0.000354047
3,-164.331,222.272,407.639,0.0496191,0.271602,0.354626,5.48E-05,0,0,-92.2731,-92.2744,-92.2421,-92.2458,-17.0257,-0.352376,-22.9798,-0.0129889,0.637562,0.00191713,28.6019,108.793,0.00699628,0.0015085,0.000265915
3,-164.614,222.266,407.256,0.0492717,0.263289,0.359485,5.55E-05,0,0,-92.2598,-92.261,-92.2261,-92.2291,-17.022,-0.348296,-22.976,-0.0130635,0.637537,0.00191449,28.596,108.808,0.00204009,0.00144888,7.37E-05
3,-164.898,222.26,406.874,0.0504892,0.236569,0.38113,5.58E-05,0,0,-92.2831,-92.2454,-92.2075,-92.2106,-17.0177,-0.344084,-22.9715,-0.0130472,0.63751,0.00191354,28.5903,108.826,-0.00277132,0.00150321,0.000194446
3,-165.182,222.255,406.491,0.0490178,0.232496,0.191167,5.56E-05,0,0,-92.2716,-92.2471,-92.2925,-92.295,-17.0171,-0.34021,-22.972,-0.0129548,0.637486,0.00190608,28.5899,108.843,-0.00671292,0.00139654,0.00055033
3,-165.437,222.25,406.146,0.0449426,0.274102,-0.35166,5.50E-05,0,0,-92.2448,-92.2682,-92.5942,-92.5953,-17.0177,-0.335817,-22.974,-0.0127945,0.637468,0.00190293,28.5941,108.858,-0.0125226,0.00120678,-0.000104888
3,-165.749,222.243,405.725,0.0407119,0.272488,-1.2825,5.38E-05,0,0,-92.2919,-92.3433,-93.0782,-93.0744,-17.0278,-0.330838,-22.989,-0.0124718,0.637448,0.00192594,28.614,108.876,-0.0210491,0.0011125,-0.00157174
3,-166.033,222.238,405.341,0.0388352,0.279451,-2.11681,5.22E-05,0,0,-92.3904,-92.3917,-93.634,-93.6269,-17.0464,-0.326321,-23.0152,-0.0120823,0.637431,0.00194811,28.6424,108.893,-0.0305169,0.00116114,-0.0010832
3,-166.603,222.227,404.572,0.0372088,0.204076,-3.47937,4.88E-05,0,0,-92.6992,-92.6858,-95.0034,-94.9789,-17.1005,-0.320006,-23.0904,-0.0107019,0.637397,0.00196447,28.747,108.926,-0.0472387,0.000959445,0.000210087
3,-166.888,222.221,404.186,0.0333538,0.151653,-4.10906,4.68E-05,0,1,-92.8827,-92.87,-95.9132,-95.877,-17.1348,-0.318112,-23.1376,-0.00982944,0.637384,0.00194669,28.8146,108.943,-0.0542856,0.000759749,0.00140334
3,-167.175,222.216,403.799,0.0303475,0.264347,-4.46737,4.40E-05,0,1,-93.1246,-93.1625,-96.3344,-96.2821,-17.1827,-0.315492,-23.2032,-0.00885548,0.637378,0.00191681,28.8889,108.958,-0.0588321,0.00037873,0.0021535
3,-167.462,222.21,403.412,0.0262641,0.197535,-3.78051,4.08E-05,0,1,-93.3521,-93.3563,-95.5094,-95.4761,-17.2225,-0.312164,-23.2578,-0.00789272,0.637376,0.00189684,28.9538,108.976,-0.0566679,0.000147469,0.000816541
3,-167.721,222.206,403.062,0.01922,0.0857824,-2.98086,3.72E-05,0,1,-93.5289,-93.521,-95.0759,-95.0618,-17.2527,-0.310645,-23.2991,-0.00709613,0.637378,0.00189223,29.0003,108.993,-0.0506215,-0.000147523,-1.09E-05
3,-168.009,222.2,402.673,0.0136663,0.000815307,-2.47383,3.24E-05,0,1,-93.7018,-93.672,-94.911,-94.902,-17.2797,-0.310602,-23.336,-0.00633621,0.637383,0.00189238,29.0428,109.008,-0.0416563,-0.000297614,8.31E-07
3,-168.326,222.195,402.245,0.0135421,-0.0116128,-2.20113,-2.78E-05,0,1,-93.7947,-93.8072,-94.928,-94.9169,-17.3021,-0.31094,-23.3667,-0.00566788,0.637392,0.00190286,29.0839,109.026,-0.0330033,-0.00043661,-0.000971728
3,-168.615,222.189,401.855,0.00862181,-0.0289392,-2.1601,-2.55E-05,0,1,-93.898,-93.9279,-95.0035,-94.989,-17.3212,-0.311601,-23.3926,-0.00524853,0.637399,0.001932,29.1163,109.043,-0.0255264,-0.000360173,-0.0023941
3,-168.904,222.184,401.464,0.00784894,0.0999989,-2.11248,-2.43E-05,0,1,-94.0227,-94.0163,-95.1103,-95.1005,-17.3444,-0.310587,-23.4243,-0.00491194,0.637403,0.00196112,29.1518,109.058,-0.0163441,-0.000143716,-0.00126671
3,-169.193,222.179,401.074,0.0122343,0.088837,-2.07504,-2.41E-05,0,1,-94.1624,-94.1156,-95.2119,-95.2034,-17.3629,-0.30928,-23.4495,-0.00470451,0.637404,0.00196777,29.1901,109.076,-0.00884232,9.10E-05,0.000207919
3,-169.483,222.174,400.682,0.00826675,0.126069,-2.08586,-2.45E-05,0,1,-94.2466,-94.2548,-95.3547,-95.3464,-17.3878,-0.307226,-23.4833,-0.00464643,0.637403,0.00195144,29.225,109.093,-0.000615267,8.03E-05,0.0010412
3,-169.802,222.168,400.252,0.00614989,0.115825,-2.10254,-2.51E-05,0,1,-94.3451,-94.3847,-95.4625,-95.4544,-17.4062,-0.305597,-23.5084,-0.0046888,0.637401,0.00194305,29.2597,109.108,0.0044112,0.000126067,0.000142754
3,-170.354,222.159,399.506,0.0111567,0.103322,-2.04945,-2.64E-05,0,1,-94.5865,-94.5546,-95.6903,-95.6843,-17.4453,-0.301947,-23.5616,-0.00497637,0.637388,0.00190821,29.3288,109.143,0.0109024,0.000502916,0.00174917
3,-170.645,222.154,399.113,0.0112875,0.0820922,-2.08797,-2.67E-05,0,1,-94.6791,-94.68,-95.8228,-95.8162,-17.4679,-0.300597,-23.5925,-0.00516294,0.63738,0.00187003,29.3603,109.158,0.0130546,0.000442087,0.00263539
3,-170.936,222.149,398.72,0.00701513,-0.0648974,-2.0809,-2.67E-05,0,1,-94.7899,-94.8346,-95.947,-95.9398,-17.4889,-0.301215,-23.6211,-0.00542719,0.637373,0.00184467,29.3982,109.176,0.0155443,0.00037485,0.000621048
3,-171.228,222.144,398.326,0.00887334,-0.0831841,-2.07924,-2.64E-05,0,1,-94.9119,-94.908,-96.0745,-96.0668,-17.511,-0.302701,-23.6511,-0.00570688,0.637364,0.00183557,29.4331,109.193,0.0175272,0.000529493,0.000826112
3,-171.49,222.139,397.971,0.0108553,-0.0917764,-2.05975,-2.58E-05,0,1,-95.0307,-95.0101,-96.1817,-96.1737,-17.5294,-0.304171,-23.6762,-0.00597776,0.637356,0.00182002,29.4641,109.208,0.018421,0.000556099,0.0013391
3,-171.812,222.134,397.537,0.0110047,-0.114956,-2.09462,-2.50E-05,0,1,-95.1315,-95.1231,-96.2997,-96.2927,-17.5499,-0.306426,-23.7042,-0.0063225,0.637345,0.0017856,29.5024,109.226,0.0188989,0.000467857,0.00193636
