mCurrentLap,mWorldPosition[0],mWorldPosition[1],mWorldPosition[2],mLocalAcceleration[0],mLocalAcceleration[1],mLocalAcceleration[2],mSteering,mBrake,mThrottle,mTyreRPS[0],mTyreRPS[1],mTyreRPS[2],mTyreRPS[3],mWorldVelocity[0],mWorldVelocity[1],mWorldVelocity[2],mOrientation[0],mOrientation[1],mOrientation[2],mSpeed,mCurrentTime,mAngularVelocity[0],mAngularVelocity[1],mAngularVelocity[2]
2,-248.664,222.304,294.462,0.0274747,0.19698,-1.72317,-3.08E-05,0,1,-113.793,-113.801,-115.222,-115.207,-20.5382,0.754746,-28.6927,0.025962,0.621291,0.000484007,35.297,0.00927734,0.00239656,0.000779158,0.000185758
2,-249.038,222.318,293.94,0.0266112,0.484251,-1.69051,-3.11E-05,0,1,-113.88,-113.925,-115.325,-115.309,-20.5541,0.760371,-28.7156,0.0258996,0.621278,0.000478599,35.3249,0.0263672,0.00345507,0.000688354,0.000690706
2,-249.374,222.33,293.47,0.02938,0.616145,-1.73214,-3.14E-05,0,1,-113.967,-113.983,-115.427,-115.411,-20.5698,0.770749,-28.7384,0.0258929,0.621265,0.000462958,35.356,0.0424805,-0.00194143,0.000821917,0.000942892
2,-249.711,222.343,292.999,0.0316221,0.590867,-1.66495,-3.18E-05,0,1,-114.09,-114.062,-115.526,-115.51,-20.5847,0.781001,-28.7601,0.0259966,0.62125,0.000434845,35.3833,0.0595703,-0.00828296,0.000966943,0.00206226
2,-250.048,222.356,292.528,0.0318043,0.520359,-1.71447,-3.21E-05,0,1,-114.168,-114.17,-115.641,-115.626,-20.6027,0.792007,-28.7862,0.0262061,0.621234,0.000390957,35.4113,0.0751953,-0.0156704,0.000867668,0.00287432
2,-250.385,222.369,292.057,0.0287381,0.452094,-1.73816,-3.23E-05,0,1,-114.247,-114.257,-115.726,-115.706,-20.6168,0.799588,-28.8067,0.0265191,0.62122,0.000343957,35.4399,0.0932617,-0.021188,0.000884688,0.00288902
2,-251.099,222.397,291.061,0.0266814,0.547786,-1.71813,-3.27E-05,0,1,-114.454,-114.452,-115.869,-115.856,-20.6513,0.821709,-28.8566,0.0271958,0.621194,0.000284027,35.4976,0.130371,-0.0180909,0.000911883,0.000989604
2,-251.437,222.41,290.588,0.02727,0.432675,-1.72225,-3.27E-05,0,1,-114.583,-114.543,-115.96,-115.946,-20.667,0.830087,-28.8793,0.0274822,0.621176,0.000268759,35.5285,0.142578,-0.0142093,0.000996841,0.000627438
2,-251.775,222.424,290.115,0.0247592,0.361061,-1.70009,-3.22E-05,0,1,-114.624,-114.633,-116.055,-116.043,-20.6829,0.837148,-28.9022,0.0276734,0.621162,0.00026924,35.5565,0.15918,-0.0104005,0.000818132,-0.000484598
2,-252.114,222.438,289.642,0.0218697,0.225489,-1.65502,-3.16E-05,0,1,-114.724,-114.786,-116.165,-116.15,-20.7003,0.843148,-28.9272,0.0278003,0.621149,0.000290497,35.5839,0.177246,-0.005902,0.000669038,-0.00203013
