mCarName,mTrackLocation,mTrackVariation,mCurrentLap,mWorldPosition[0],mWorldPosition[1],mWorldPosition[2],mLocalAcceleration[0],mLocalAcceleration[1],mLocalAcceleration[2],mSteering,mBrake,mThrottle,mTyreRPS[0],mTyreRPS[1],mTyreRPS[2],mTyreRPS[3],mWorldVelocity[0],mWorldVelocity[1],mWorldVelocity[2],mOrientation[0],mOrientation[1],mOrientation[2],mSpeed,mCurrentTime,mAngularVelocity[0],mAngularVelocity[1],mAngularVelocity[2]
Toyota GT-86,Laguna_Seca,,1,-172.924,222.033,386.686,0.0189018,0.124164,-2.88164,0.000350825,0,1,-89.1775,-89.1929,-90.6991,-90.6828,-17.3405,-0.288015,-21.5605,-0.00408764,0.677284,0.00163806,27.6808,3.38599,-0.00767032,0.00219659,0.00155464
Toyota GT-86,Laguna_Seca,,1,-174.931,222.001,384.19,0.0176782,0.084498,-2.7981,4.73738e-05,0,1,-90.236,-90.2385,-91.7514,-91.7246,-17.5435,-0.275199,-21.8173,-0.00384012,0.677259,0.00138864,28.0065,3.5,-0.000297624,-0.000691334,0.00117069
Toyota GT-86,Laguna_Seca,,1,-177.02,221.969,381.593,0.00144475,-0.0149615,-2.73011,-7.48217e-05,0,1,-91.2963,-91.2973,-92.7979,-92.7767,-17.7485,-0.271708,-22.0745,-0.00403782,0.677294,0.00134562,28.3289,3.616,0.00348493,-2.10978e-06,0.000503052
Toyota GT-86,Laguna_Seca,,1,-179.102,221.937,379.003,-0.00101814,0.0799893,-2.69295,-6.37889e-05,0,1,-92.3036,-92.305,-93.785,-93.7657,-17.9437,-0.26769,-22.3171,-0.00394729,0.677287,0.00126502,28.6475,3.73599,-0.00564679,7.38163e-05,0.000276582
Toyota GT-86,Laguna_Seca,,1,-181.527,221.901,375.987,0.0218415,0.0983566,0.398839,-4.32651e-05,0,0,-92.3879,-92.3936,-92.3969,-92.4031,-17.9568,-0.280821,-22.334,-0.00719932,0.677205,0.00141445,28.6576,3.87,0.0370931,0.00129874,-7.37586e-05
Toyota GT-86,Laguna_Seca,,1,-183.799,221.867,373.161,0.0345832,0.248747,0.421713,1.95235e-05,0,0,-92.2387,-92.2454,-92.2282,-92.2354,-17.9205,-0.250767,-22.2954,-0.00944246,0.677013,0.0013081,28.6058,3.996,0.00045137,0.00145597,-0.000260946
Toyota GT-86,Laguna_Seca,,1,-185.653,221.843,370.854,0.0357802,0.423328,-3.38677,2.10642e-05,0,0,-92.6428,-92.6478,-94.8516,-94.8157,-18.0007,-0.21622,-22.4011,-0.0071691,0.676883,0.0013604,28.7487,4.10001,-0.0564478,0.000910584,0.000615249
Toyota GT-86,Laguna_Seca,,1,-187.407,221.821,368.671,0.0143623,-0.0313289,-2.11756,-1.53602e-05,0,1,-93.7388,-93.7367,-94.7736,-94.7597,-18.2089,-0.203278,-22.6645,-0.00133462,0.676869,0.00129298,29.0738,4.19101,-0.0330677,-0.000383557,-0.00075559
Toyota GT-86,Laguna_Seca,,1,-189.601,221.797,365.94,0.0108469,0.256654,-2.00389,-3.56556e-05,0,1,-94.4888,-94.4921,-95.6257,-95.6141,-18.3591,-0.188977,-22.8531,-0.00102504,0.676863,0.00130264,29.3148,4.32098,0.00714931,0.000430915,0.00248712
Toyota GT-86,Laguna_Seca,,1,-191.782,221.777,363.225,0.0108999,0.0440917,-2.00319,-4.09686e-05,0,1,-95.2441,-95.2478,-96.3978,-96.3847,-18.504,-0.167313,-23.0356,-0.00154859,0.676801,0.00102026,29.5527,4.439,0.00502116,0.000565616,0.000460583
Toyota GT-86,Laguna_Seca,,1,-193.639,221.76,360.913,0.0120358,-0.171823,-2.01295,-3.64573e-05,0,1,-95.8908,-95.8932,-97.0719,-97.0582,-18.6289,-0.178621,-23.193,-0.00223323,0.676751,0.00100581,29.7571,4.53101,0.00858932,0.000415554,0.000119091
Toyota GT-86,Laguna_Seca,,1,-195.509,221.741,358.586,0.0122444,-0.15342,-2.02151,-3.54358e-05,0,1,-96.5619,-96.5646,-97.761,-97.7472,-18.7578,-0.198143,-23.3558,-0.00280389,0.676714,0.0008975,29.9584,4.64099,0.00167783,0.000379866,0.00112266
Toyota GT-86,Laguna_Seca,,1,-198.053,221.715,355.418,0.00892671,0.484191,-2.04991,-3.7216e-05,0,1,-97.4376,-97.4394,-98.583,-98.5708,-18.9244,-0.173,-23.5654,-0.00093783,0.676668,0.000795097,30.2308,4.76599,-0.0292782,0.000343035,3.66627e-05
Toyota GT-86,Laguna_Seca,,1,-199.794,221.7,353.25,0.0134839,0.278199,-1.98725,-3.70161e-05,0,1,-98.0258,-98.0284,-99.1785,-99.1644,-19.0392,-0.13706,-23.7099,0.000845874,0.676633,0.000882858,30.4133,4.87,-0.00799811,0.000453769,-0.00134625
Toyota GT-86,Laguna_Seca,,1,-201.513,221.69,351.109,0.0195916,0.267859,-2.02992,-3.66757e-05,0,1,-98.5957,-98.5985,-99.7824,-99.7682,-19.1492,-0.102106,-23.8491,0.00147697,0.676591,0.000881202,30.5877,4.95099,-0.00872502,0.00052815,0.00117197
Toyota GT-86,Laguna_Seca,,1,-203.402,221.681,348.756,0.0134656,0.0334349,-1.9704,-3.65516e-05,0,1,-99.2224,-99.2259,-100.428,-100.414,-19.2706,-0.0835252,-24.0027,0.00158692,0.676538,0.000814815,30.7854,5.04999,0.00510856,0.000526462,1.73855e-05
Toyota GT-86,Laguna_Seca,,1,-205.691,221.672,345.905,0.013649,0.197526,-1.97245,-3.56883e-05,0,1,-99.9723,-99.9748,-101.175,-101.164,-19.4136,-0.0590084,-24.1836,0.00223608,0.676482,0.000727002,31.0152,5.16599,-0.0112858,0.000448921,0.000739368
Toyota GT-86,Laguna_Seca,,1,-207.965,221.666,343.072,0.0482823,0.396617,-1.93829,-0.000637668,0,1,-100.693,-100.707,-101.934,-101.919,-19.5544,-0.0376433,-24.3621,0.00296185,0.676428,0.000755099,31.2465,5.285,-0.0103405,0.000688413,-0.000897375
Toyota GT-86,Laguna_Seca,,1,-210.419,221.664,340.013,0.0412163,0.264348,-1.93653,4.53033e-05,0,1,-101.483,-101.499,-102.69,-102.685,-19.6988,0.00907668,-24.5579,0.00510392,0.676017,0.000981046,31.4871,5.39999,-0.00997199,0.0031177,0.0019832
Toyota GT-86,Laguna_Seca,,1,-212.892,221.668,336.93,0.0439226,0.47681,-1.95525,4.0912e-05,0,1,-102.268,-102.272,-103.482,-103.468,-19.8447,0.0628522,-24.7498,0.00665381,0.675812,0.000824466,31.7314,5.53601,-0.0181463,0.000768122,0.000621973
Toyota GT-86,Laguna_Seca,,1,-215.116,221.678,334.156,0.0262283,0.505,-1.8855,-1.99821e-05,0,1,-102.953,-102.955,-104.211,-104.193,-19.9766,0.102266,-24.92,0.00743742,0.675764,0.000927638,31.9442,5.64499,-0.00583885,0.000309456,-0.000388382
Toyota GT-86,Laguna_Seca,,1,-217.589,221.693,331.07,0.0091526,0.263095,-1.8913,-2.68306e-05,0,1,-103.724,-103.726,-104.963,-104.946,-20.1226,0.154684,-25.1056,0.00932416,0.675719,0.000890581,32.1788,5.76599,-0.00940015,0.000415419,-0.00230653
Toyota GT-86,Laguna_Seca,,1,-219.912,221.713,328.173,0.00994493,0.301276,-1.93509,-2.94273e-05,0,1,-104.405,-104.407,-105.685,-105.665,-20.2534,0.195426,-25.2711,0.0103948,0.675677,0.00103123,32.3949,5.88101,-0.0176469,0.000422303,0.000568644
Toyota GT-86,Laguna_Seca,,1,-221.57,221.73,326.103,0.182431,0.165945,-1.86116,-0.0030966,0,1,-104.88,-104.927,-106.169,-106.155,-20.3467,0.221076,-25.3952,0.0112843,0.675604,0.00121832,32.5453,5.96899,-0.00360042,0.00301207,-0.00890995
Toyota GT-86,Laguna_Seca,,1,-223.985,221.759,323.085,0.135874,0.38556,-1.87901,9.40298e-05,0,1,-105.588,-105.642,-106.866,-106.885,-20.4599,0.263899,-25.585,0.0124246,0.674258,0.0021857,32.7655,6.08499,-0.0168804,0.0103164,0.0105453
Toyota GT-86,Laguna_Seca,,1,-226.345,221.791,320.132,0.145718,0.401251,-1.83067,0.000212212,0,1,-106.291,-106.304,-107.602,-107.585,-20.5784,0.300768,-25.7635,0.0133678,0.673619,0.00170514,32.9806,6.19901,-0.00846172,0.00235523,0.000650884
Toyota GT-86,Laguna_Seca,,1,-228.615,221.826,317.287,1.31693,0.145802,-1.80082,-0.0221714,0,1,-106.781,-107.094,-108.233,-108.224,-20.6747,0.336887,-25.9412,0.014662,0.673289,0.00247367,33.1799,6.31201,-0.00492369,0.0163168,-0.0484635
Toyota GT-86,Laguna_Seca,,1,-230.775,221.863,314.542,4.24666,0.341715,-1.68519,-0.044617,0,1,-107.127,-107.798,-108.714,-109.163,-20.4996,0.370771,-26.3117,0.0149573,0.662044,0.0168457,33.3585,6.41501,-0.011451,0.194611,-0.116287
Toyota GT-86,Laguna_Seca,,1,-233.228,221.912,311.362,2.87731,0.594059,-1.79037,0.00274034,0,1,-107.892,-108.455,-109.467,-109.787,-20.3182,0.441014,-26.7047,0.0171795,0.641523,0.0124748,33.5628,6.53101,-0.0163441,0.110177,0.0828266
Toyota GT-86,Laguna_Seca,,1,-235.66,221.969,308.134,2.53808,0.267341,-1.76148,-0.0038448,0,1,-108.744,-108.945,-110.244,-110.18,-20.1857,0.503331,-27.0653,0.0191451,0.634649,0.010162,33.7791,6.65399,-0.00516471,0.0259741,-0.00228944
Toyota GT-86,Laguna_Seca,,1,-237.945,222.028,305.05,0.905263,0.215797,-1.77491,0.00310996,0,1,-109.488,-109.544,-110.909,-110.87,-20.1445,0.539526,-27.3493,0.0197058,0.632193,0.00584338,33.9748,6.76999,-0.0181826,0.00723584,0.0701674
Toyota GT-86,Laguna_Seca,,1,-239.998,222.084,302.26,0.25256,0.347172,-1.7634,0.00181167,0,1,-110.117,-110.095,-111.478,-111.411,-20.2088,0.575679,-27.5293,0.0209038,0.632354,0.0018625,34.1589,6.85101,-0.00431815,-0.00647666,0.0153676
Toyota GT-86,Laguna_Seca,,1,-242.736,222.167,298.529,0.0151805,0.354386,-1.73348,-0.000612158,0,1,-110.865,-110.845,-112.19,-112.149,-20.3367,0.644979,-27.7192,0.0233252,0.633249,0.000442167,34.3925,7.00101,-0.0146432,-0.00349458,-0.000570644
Toyota GT-86,Laguna_Seca,,1,-245.015,222.241,295.424,-0.139485,0.42021,-1.79792,0.00159278,0,1,-111.507,-111.485,-112.872,-112.846,-20.4587,0.699504,-27.8756,0.0245867,0.633317,0.000290987,34.5846,7.116,-0.0214601,-0.000691011,0.00676446
Toyota GT-86,Laguna_Seca,,1,-247.204,222.318,292.443,-0.0709099,0.528674,-1.70315,-8.02686e-05,0,1,-112.081,-112.052,-113.452,-113.407,-20.5794,0.745204,-28.0087,0.0258388,0.633905,-4.97518e-05,34.7685,7.229,-0.00320293,-0.00666835,-0.00661583
Toyota GT-86,Laguna_Seca,,1,-249.51,222.405,289.306,-0.0751674,0.456054,-1.68567,-0.000206404,0,1,-112.704,-112.7,-114.049,-114.028,-20.7005,0.814822,-28.1583,0.0278289,0.634279,0.000365055,34.9614,7.33099,-0.0165304,-0.000956727,0.000370083
Toyota GT-86,Laguna_Seca,,1,-251.967,222.505,285.964,-0.0110999,0.510499,-1.74383,-0.000175357,0,1,-113.329,-113.334,-114.736,-114.707,-20.8194,0.880549,-28.311,0.0294243,0.63425,0.000437219,35.159,7.45001,-0.0259761,0.000980902,-0.000602863
Toyota GT-86,Laguna_Seca,,1,-254.369,222.61,282.698,0.0243336,0.729823,-1.61421,-9.88245e-05,0,1,-113.936,-113.942,-115.339,-115.316,-20.9318,0.945692,-28.4648,0.0310457,0.634124,0.000623792,35.3505,7.56601,-0.00928772,0.001094,-0.00106937
Toyota GT-86,Laguna_Seca,,1,-256.608,222.715,279.653,0.0290187,0.462566,-1.63058,-5.26411e-05,0,1,-114.511,-114.516,-115.881,-115.862,-21.0316,1.01686,-28.6056,0.0332101,0.634014,0.000564762,35.5237,7.66901,-0.0147534,0.000983239,-1.31732e-05
Toyota GT-86,Laguna_Seca,,1,-258.927,222.83,276.497,0.404062,0.60558,-1.66684,-0.00531939,0,1,-115.042,-115.114,-116.498,-116.488,-21.1208,1.08823,-28.7551,0.0348779,0.633664,0.00111596,35.7037,7.78101,-0.0304831,0.00948826,-0.0145608
Toyota GT-86,Laguna_Seca,,1,-261.361,222.96,273.179,0.238068,0.877301,-1.5531,0.000152484,0,1,-115.638,-115.69,-117.072,-117.077,-21.201,1.16477,-28.923,0.0367317,0.631964,0.00117405,35.8878,7.89401,-0.0116408,0.00997112,0.0110859
Toyota GT-86,Laguna_Seca,,1,-263.877,223.103,269.745,0.186718,0.417257,-1.56241,0.00029254,0,1,-116.283,-116.295,-117.681,-117.652,-21.2894,1.25554,-29.0905,0.0394353,0.631355,0.000562012,36.073,8.01599,-0.00984031,0.00215544,0.00123728
